,S_1_hruid,S_1_PFAF,S_1_area_org,ID_t,lat_t,lon_t,order_t,AS1,IDS1,lat_s,lon_s,ID_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N
7916,3000366,3146992,252833226.18273064,3000366,53.14566748645573,-119.4815745182674,401,252833226.18272984,401,53.20000076293945,-119.30000305175781,3926,74373291.91797048,3926,1318772.237484374,0.005215976781988533,0.01773179865345889,0.0052159767819885345,0.018439154844208154
7913,3000366,3146992,252833226.18273064,3000366,53.14566748645573,-119.4815745182674,401,252833226.18272984,401,53.20000076293945,-119.5999984741211,3923,74370454.86698596,3923,8254823.462645036,0.03264928264087821,0.11099600610765475,0.03264928264087823,0.11099600610765475
7912,3000366,3146992,252833226.18273064,3000366,53.14566748645573,-119.4815745182674,401,252833226.18272984,401,53.099998474121094,-119.5,4025,74542171.55901943,4025,68535767.55503266,0.2710710478594292,0.9194227391238374,0.2710710478594293,0.9194227391238374
7911,3000366,3146992,252833226.18273064,3000366,53.14566748645573,-119.4815745182674,401,252833226.18272984,401,53.099998474121094,-119.4000015258789,4026,74542171.55900505,4026,22838833.584916018,0.09033161475545044,0.30638809022135305,0.09033161475545047,0.30638809022135327
7918,3000366,3146992,252833226.18273064,3000366,53.14566748645573,-119.4815745182674,401,252833226.18272984,401,53.20000076293945,-119.5,3924,74370454.86698596,3924,51765275.07498495,0.2047407924050801,0.6960462345909928,0.20474079240508017,0.6960462345909928
2445,3000378,3142772,251258775.54080528,3000378,51.46579892045989,-120.04684702905863,131,251258775.54081053,131,51.400001525878906,-120.19999694824219,5735,77427700.14376163,5735,1596913.3709941602,0.006355652126207161,0.0206245745131153,0.0063556521262071635,0.0206245745131153
2449,3000378,3142772,251258775.54080528,3000378,51.46579892045989,-120.04684702905863,131,251258775.54081053,131,51.400001525878906,-119.9000015258789,5738,77424746.57901742,5738,2336917.9418115295,0.009300841082193196,0.030183088031506048,0.009300841082193199,0.030183088031506048
2443,3000378,3142772,251258775.54080528,3000378,51.46579892045989,-120.04684702905863,131,251258775.54081053,131,51.5,-120.0,5636,77255646.59068337,5636,73074881.98819429,0.2908351432936325,0.9458840254792035,0.29083514329363264,0.9458840254792044
2440,3000378,3142772,251258775.54080528,3000378,51.46579892045989,-120.04684702905863,131,251258775.54081053,131,51.400001525878906,-120.0999984741211,5736,77424746.57901742,5736,54225577.867194206,0.21581565758441204,0.7003649383837915,0.21581565758441212,0.7003649383837915
2439,3000378,3142772,251258775.54080528,3000378,51.46579892045989,-120.04684702905863,131,251258775.54081053,131,51.400001525878906,-120.0,5737,77424746.57900245,5737,36898075.70909937,0.1468528835646826,0.47656695487468476,0.14685288356468265,0.47656695487468476
2444,3000378,3142772,251258775.54080528,3000378,51.46579892045989,-120.04684702905863,131,251258775.54081053,131,51.5,-120.0999984741211,5635,77255646.59069829,5635,66358284.59977391,0.2641033510449298,0.8589441358421505,0.26410335104492993,0.8589441358421505
2446,3000378,3142772,251258775.54080528,3000378,51.46579892045989,-120.04684702905863,131,251258775.54081053,131,51.599998474121094,-120.0,5535,77089249.26578765,5535,884564.6715640726,0.0035205324457230664,0.011474552936872925,0.003520532445723068,0.01147455293687292
2441,3000378,3142772,251258775.54080528,3000378,51.46579892045989,-120.04684702905863,131,251258775.54081053,131,51.5,-120.19999694824219,5634,77258593.70469148,5634,1901291.6916060173,0.0075670658169597,0.024609452494998785,0.0075670658169597034,0.024609452494998785
2448,3000378,3142772,251258775.54080528,3000378,51.46579892045989,-120.04684702905863,131,251258775.54081053,131,51.599998474121094,-120.0999984741211,5534,77089249.26580252,5534,26894.411243215174,0.00010703869421208283,0.0003488736950918236,0.00010703869421208288,0.00034887369509182354
2442,3000378,3142772,251258775.54080528,3000378,51.46579892045989,-120.04684702905863,131,251258775.54081053,131,51.5,-119.9000015258789,5637,77255646.59069829,5637,13955373.289329639,0.055541834347047306,0.18063887761195555,0.055541834347047334,0.18063887761195557
1280,3000599,3142482,253978991.8318082,3000599,51.386036134289554,-120.58913712524698,69,253978991.83179295,69,51.29999923706055,-120.80000305175781,5830,77595089.61910538,5830,26930.468151043373,0.00010603423518146367,0.00034706407690535845,0.00010603423518146357,0.00034706407690535845
1289,3000599,3142482,253978991.8318082,3000599,51.386036134289554,-120.58913712524698,69,253978991.83179295,69,51.5,-120.69999694824219,5629,77258593.7047064,5629,279293.9179016856,0.0010996733071791166,0.0036150530900055937,0.0010996733071791155,0.003615053090005594
1282,3000599,3142482,253978991.8318082,3000599,51.386036134289554,-120.58913712524698,69,253978991.83179295,69,51.400001525878906,-120.4000015258789,5733,77424746.57901742,5733,10337589.23389974,0.040702536691484284,0.1335178956427,0.04070253669148425,0.1335178956427
1281,3000599,3142482,253978991.8318082,3000599,51.386036134289554,-120.58913712524698,69,253978991.83179295,69,51.29999923706055,-120.4000015258789,5834,77592129.66907564,5834,3685059.8242630903,0.014509309599526477,0.047492701128060054,0.014509309599526465,0.04749270112806006
1278,3000599,3142482,253978991.8318082,3000599,51.386036134289554,-120.58913712524698,69,253978991.83179295,69,51.29999923706055,-120.5999984741211,5832,77592129.66904567,5832,3343084.4334403872,0.013162838427417924,0.04308535476084587,0.013162838427417911,0.043085354760845865
1283,3000599,3142482,253978991.8318082,3000599,51.386036134289554,-120.58913712524698,69,253978991.83179295,69,51.400001525878906,-120.5,5732,77424746.57903236,5732,54075447.62712701,0.21291307299518886,0.6984258911577935,0.21291307299518866,0.6984258911577935
1286,3000599,3142482,253978991.8318082,3000599,51.386036134289554,-120.58913712524698,69,253978991.83179295,69,51.400001525878906,-120.69999694824219,5730,77427700.1437766,5730,62590559.53073194,0.24643990858970283,0.8083742564289865,0.2464399085897026,0.808374256428986
1284,3000599,3142482,253978991.8318082,3000599,51.386036134289554,-120.58913712524698,69,253978991.83179295,69,51.29999923706055,-120.5,5833,77592129.66909061,5833,26458831.836105,0.10417724570553594,0.3409989125049762,0.10417724570553584,0.34099891250497616
1285,3000599,3142482,253978991.8318082,3000599,51.386036134289554,-120.58913712524698,69,253978991.83179295,69,51.400001525878906,-120.5999984741211,5731,77424746.57898752,5731,75187444.27142167,0.29603804523020294,0.9711035243068779,0.29603804523020266,0.9711035243068779
1288,3000599,3142482,253978991.8318082,3000599,51.386036134289554,-120.58913712524698,69,253978991.83179295,69,51.5,-120.5999984741211,5630,77255646.59066844,5630,6304196.520532224,0.024821724328709098,0.08160175726616332,0.024821724328709077,0.08160175726616331
1287,3000599,3142482,253978991.8318082,3000599,51.386036134289554,-120.58913712524698,69,253978991.83179295,69,51.400001525878906,-120.80000305175781,5729,77427700.14379154,5729,11200615.416605134,0.044100558616372326,0.14465902249200724,0.044100558616372285,0.14465902249200724
1279,3000599,3142482,253978991.8318082,3000599,51.386036134289554,-120.58913712524698,69,253978991.83179295,69,51.29999923706055,-120.69999694824219,5831,77595089.61909041,5831,489938.75161424675,0.0019290522734995614,0.006314043247057596,0.0019290522734995597,0.0063140432470576
1797,3000823,31426322,257606511.32256418,3000823,51.15227982834172,-119.395715317418,95,257606511.3225649,95,51.29999923706055,-119.30000305175781,5845,77595089.61907543,5845,1100535.7350733043,0.004272158065505014,0.014183059011542869,0.004272158065505012,0.01418305901154287
1794,3000823,31426322,257606511.32256418,3000823,51.15227982834172,-119.395715317418,95,257606511.3225649,95,51.20000076293945,-119.19999694824219,5947,77762233.65747835,5947,367172.9936832496,0.0014253249725644155,0.00472173928671529,0.0014253249725644148,0.004721739286715291
1790,3000823,31426322,257606511.32256418,3000823,51.15227982834172,-119.395715317418,95,257606511.3225649,95,51.20000076293945,-119.30000305175781,5946,77762233.65746333,5946,58319549.79176311,0.2263900453926711,0.7499726673060377,0.226390045392671,0.7499726673060376
1796,3000823,31426322,257606511.32256418,3000823,51.15227982834172,-119.395715317418,95,257606511.3225649,95,51.29999923706055,-119.4000015258789,5844,77592129.66906065,5844,1105451.073284891,0.004291238865079337,0.014246948472735145,0.004291238865079336,0.01424694847273515
1784,3000823,31426322,257606511.32256418,3000823,51.15227982834172,-119.395715317418,95,257606511.3225649,95,51.0,-119.4000015258789,6147,78091313.35065478,6147,2167348.1296391184,0.008413405851085996,0.027754023292027852,0.008413405851085992,0.027754023292027846
1792,3000823,31426322,257606511.32256418,3000823,51.15227982834172,-119.395715317418,95,257606511.3225649,95,51.20000076293945,-119.5,5944,77759267.33157045,5944,10710529.517088994,0.04157709159640644,0.13773958892151875,0.04157709159640642,0.13773958892151877
1786,3000823,31426322,257606511.32256418,3000823,51.15227982834172,-119.395715317418,95,257606511.3225649,95,51.099998474121094,-119.4000015258789,6046,77926159.08141276,6046,53839250.356181815,0.2089980182557047,0.6909008603893035,0.2089980182557046,0.6909008603893035
1787,3000823,31426322,257606511.32256418,3000823,51.15227982834172,-119.395715317418,95,257606511.3225649,95,51.099998474121094,-119.5,6045,77926159.08142781,6045,48082601.230394706,0.18665134271465497,0.6170277323709935,0.1866513427146549,0.6170277323709937
1791,3000823,31426322,257606511.32256418,3000823,51.15227982834172,-119.395715317418,95,257606511.3225649,95,51.20000076293945,-119.4000015258789,5945,77759267.33155543,5945,66793597.07663809,0.25928536019418286,0.8589792492750589,0.25928536019418275,0.8589792492750589
1783,3000823,31426322,257606511.32256418,3000823,51.15227982834172,-119.395715317418,95,257606511.3225649,95,51.0,-119.5,6146,78091313.35066986,6146,3683899.5972889718,0.014300491002248523,0.04717425587076993,0.014300491002248516,0.04717425587076991
1789,3000823,31426322,257606511.32256418,3000823,51.15227982834172,-119.395715317418,95,257606511.3225649,95,51.099998474121094,-119.30000305175781,6047,77929131.77383283,6047,11436575.82152877,0.0443955230898971,0.1467561046967671,0.04439552308989708,0.14675610469676711
5834,3000951,314564,259515281.3554982,3000951,53.04237211880016,-121.83407763416592,307,259515281.3554973,307,53.0,-122.0999984741211,4100,74712225.04569578,4100,13111534.907232411,0.050523170885153235,0.17549383516838218,0.05052317088515331,0.1754938351683822
5838,3000951,314564,259515281.3554982,3000951,53.04237211880016,-121.83407763416592,307,259515281.3554973,307,53.099998474121094,-122.0,4000,74542171.55901943,4000,10070520.63245761,0.038805116137505966,0.13509829968508746,0.03880511613750602,0.13509829968508755
5836,3000951,314564,259515281.3554982,3000951,53.04237211880016,-121.83407763416592,307,259515281.3554973,307,53.0,-122.0,4101,74712225.04569578,4101,32800891.231992677,0.12639290858198188,0.4390297733996126,0.12639290858198207,0.4390297733996127
5835,3000951,314564,259515281.3554982,3000951,53.04237211880016,-121.83407763416592,307,259515281.3554973,307,53.0,-121.9000015258789,4102,74712225.04568136,4102,22666682.52093789,0.08734238077444044,0.3033865275338645,0.08734238077444056,0.3033865275338645
5840,3000951,314564,259515281.3554982,3000951,53.04237211880016,-121.83407763416592,307,259515281.3554973,307,53.0,-121.69999694824219,4104,74715075.13439125,4104,41108625.44602289,0.1584054134743233,0.5502052346474942,0.15840541347432352,0.5502052346474942
5841,3000951,314564,259515281.3554982,3000951,53.04237211880016,-121.83407763416592,307,259515281.3554973,307,53.0,-121.80000305175781,4103,74715075.13437682,4103,33653081.23783493,0.12967668440200722,0.45041889039539973,0.1296766844020074,0.4504188903953999
5842,3000951,314564,259515281.3554982,3000951,53.04237211880016,-121.83407763416592,307,259515281.3554973,307,53.0,-121.5999984741211,4105,74712225.04569578,4105,18274686.755991638,0.07041853820915477,0.2446010240601776,0.07041853820915486,0.24460102406017772
5843,3000951,314564,259515281.3554982,3000951,53.04237211880016,-121.83407763416592,307,259515281.3554973,307,53.099998474121094,-121.80000305175781,4002,74545015.16057582,4002,33220079.179286048,0.1280081812746105,0.4456378351755297,0.1280081812746107,0.4456378351755297
5844,3000951,314564,259515281.3554982,3000951,53.04237211880016,-121.83407763416592,307,259515281.3554973,307,53.099998474121094,-121.69999694824219,4003,74545015.1605902,4003,13611398.39791736,0.0524493136851998,0.1825930059655191,0.05244931368519987,0.18259300596551908
5845,3000951,314564,259515281.3554982,3000951,53.04237211880016,-121.83407763416592,307,259515281.3554973,307,53.099998474121094,-121.5999984741211,4004,74542171.55901943,4004,336882.9588867348,0.0012981237834131828,0.004519360676526639,0.0012981237834131848,0.004519360676526639
5837,3000951,314564,259515281.3554982,3000951,53.04237211880016,-121.83407763416592,307,259515281.3554973,307,53.099998474121094,-121.9000015258789,4001,74542171.55900504,4001,40660898.08693676,0.15668016879220834,0.5454750946549898,0.15668016879220856,0.5454750946549898
10036,3001129,314984,258815284.2373378,3001129,53.499055213208734,-126.35533112361506,491,258815284.23733512,491,53.5,-126.0999984741211,3555,73852483.67129657,3555,11592554.791850366,0.04479084311427267,0.15696905798654834,0.04479084311427263,0.15696905798654823
10037,3001129,314984,258815284.2373378,3001129,53.499055213208734,-126.35533112361506,491,258815284.23733512,491,53.599998474121094,-126.0999984741211,3454,73681236.21420604,3454,1521403.7357988136,0.005878338059832964,0.02064845561732691,0.005878338059832959,0.02064845561732691
10026,3001129,314984,258815284.2373378,3001129,53.499055213208734,-126.35533112361506,491,258815284.23733512,491,53.5,-126.19999694824219,3554,73855300.96296088,3554,46406028.0476408,0.1793017293564711,0.6283371327795936,0.17930172935647093,0.628337132779593
10025,3001129,314984,258815284.2373378,3001129,53.499055213208734,-126.35533112361506,491,258815284.23733512,491,53.400001525878906,-126.30000305175781,3654,74029137.84078014,3654,66847.34056603577,0.00025828204374798964,0.0009029868848372814,0.0002582820437479894,0.0009029868848372816
10027,3001129,314984,258815284.2373378,3001129,53.499055213208734,-126.35533112361506,491,258815284.23733512,491,53.5,-126.30000305175781,3553,73855300.96297514,3553,69733872.8683734,0.26943491020579385,0.9441959068494232,0.26943491020579363,0.944195906849423
10022,3001129,314984,258815284.2373378,3001129,53.499055213208734,-126.35533112361506,491,258815284.23733512,491,53.400001525878906,-126.5,3652,74026313.91790266,3652,1474039.5921220686,0.005695334402161373,0.019912373237398008,0.005695334402161367,0.01991237323739801
10034,3001129,314984,258815284.2373378,3001129,53.499055213208734,-126.35533112361506,491,258815284.23733512,491,53.599998474121094,-126.19999694824219,3453,73684046.97319864,3453,1782781.4010348008,0.00688823848362827,0.02419494414690955,0.006888238483628264,0.024194944146909567
10032,3001129,314984,258815284.2373378,3001129,53.499055213208734,-126.35533112361506,491,258815284.23733512,491,53.599998474121094,-126.5,3450,73681236.21420605,3450,568713.7987109243,0.0021973733135072907,0.007718570262007546,0.0021973733135072886,0.007718570262007548
10029,3001129,314984,258815284.2373378,3001129,53.499055213208734,-126.35533112361506,491,258815284.23733512,491,53.5,-126.5,3551,73852483.67129657,3551,57285598.903764635,0.22133777405214372,0.7756759970149684,0.22133777405214353,0.7756759970149684
10020,3001129,314984,258815284.2373378,3001129,53.499055213208734,-126.35533112361506,491,258815284.23733512,491,53.400001525878906,-126.4000015258789,3653,74026313.91787408,3653,826971.3070519776,0.0031952182016176454,0.011171315486131487,0.0031952182016176424,0.011171315486131489
10028,3001129,314984,258815284.2373378,3001129,53.499055213208734,-126.35533112361506,491,258815284.23733512,491,53.5,-126.5999984741211,3550,73852483.67131083,3550,15317381.123456346,0.05918267604864564,0.20740509136602844,0.059182676048645584,0.20740509136602847
10035,3001129,314984,258815284.2373378,3001129,53.499055213208734,-126.35533112361506,491,258815284.23733512,491,53.599998474121094,-126.30000305175781,3452,73684046.97321285,3452,794229.5065321265,0.003068711760484027,0.01077885294249461,0.0030687117604840243,0.010778852942494612
10030,3001129,314984,258815284.2373378,3001129,53.499055213208734,-126.35533112361506,491,258815284.23733512,491,53.5,-126.4000015258789,3552,73852483.67126805,3552,51444861.82043305,0.19877057095769435,0.6965894613568349,0.19877057095769418,0.6965894613568347
22,3001373,314122,262789580.0543933,3001373,49.41305312375716,-122.76371530813508,3,262789580.05439276,3,49.5,-122.69999694824219,7629,80564116.7677804,7629,34650717.505559534,0.13185727340630268,0.43010112809201956,0.13185727340630266,0.43010112809201956
16,3001373,314122,262789580.0543933,3001373,49.41305312375716,-122.76371530813508,3,262789580.05439276,3,49.29999923706055,-122.80000305175781,7830,80890685.8222297,7830,47257754.81168675,0.17983115921835727,0.5842175070136415,0.17983115921835724,0.7848339357361291
21,3001373,314122,262789580.0543933,3001373,49.41305312375716,-122.76371530813508,3,262789580.05439276,3,49.400001525878906,-122.80000305175781,7729,80728296.09077084,7729,61235495.85935415,0.2330210195041961,0.7585381932315406,0.23302101950419604,1.0
17,3001373,314122,262789580.0543933,3001373,49.41305312375716,-122.76371530813508,3,262789580.05439276,3,49.20000076293945,-122.80000305175781,7931,81052820.60540093,7931,5517066.208354381,0.020994235034785043,0.06806754122985761,0.02099423503478504,0.12496699393296166
19,3001373,314122,262789580.0543933,3001373,49.41305312375716,-122.76371530813508,3,262789580.05439276,3,49.29999923706055,-122.69999694824219,7831,80890685.82221408,7831,7706866.5551361535,0.029327139049961454,0.09527507990320074,0.029327139049961447,0.09527507990320071
20,3001373,314122,262789580.0543933,3001373,49.41305312375716,-122.76371530813508,3,262789580.05439276,3,49.400001525878906,-122.69999694824219,7730,80728296.09075527,7730,50033282.74096095,0.19039294758416583,0.6197737988265379,0.19039294758416578,0.6197737988265382
25,3001373,314122,262789580.0543933,3001373,49.41305312375716,-122.76371530813508,3,262789580.05439276,3,49.599998474121094,-122.80000305175781,7527,80402756.75762875,7527,3884116.6732157404,0.014780329845695547,0.04830825247602233,0.014780329845695543,0.07915206464187038
24,3001373,314122,262789580.0543933,3001373,49.41305312375716,-122.76371530813508,3,262789580.05439276,3,49.599998474121094,-122.69999694824219,7528,80402756.75761323,7528,3353162.8558136853,0.012759877522996309,0.041704575701581016,0.012759877522996305,0.041704575701581016
23,3001373,314122,262789580.0543933,3001373,49.41305312375716,-122.76371530813508,3,262789580.05439276,3,49.5,-122.80000305175781,7628,80564116.76779595,7628,49151116.844311476,0.18703601883354,0.6100869570254973,0.18703601883353999,1.0
10152,3001382,314996,263080348.82209843,3001382,53.32660298567219,-127.09961339592095,498,263080348.8220976,498,53.29999923706055,-127.19999694824219,3746,74201332.64313126,3746,65025917.757677905,0.24717132255914057,0.8763443383209545,0.247171322559141,0.9577681846465137
10153,3001382,314996,263080348.82209843,3001382,53.32660298567219,-127.09961339592095,498,263080348.8220976,498,53.29999923706055,-127.0999984741211,3747,74198502.151708,3747,66046145.3320029,0.25104933009141317,0.890127744047493,0.2510493300914136,1.0
10155,3001382,314996,263080348.82209843,3001382,53.32660298567219,-127.09961339592095,498,263080348.8220976,498,53.400001525878906,-127.0999984741211,3646,74026313.91790266,3646,31368693.748722546,0.11923617210168345,0.42375058392764686,0.11923617210168366,0.42375058392764686
10156,3001382,314996,263080348.82209843,3001382,53.32660298567219,-127.09961339592095,498,263080348.8220976,498,53.400001525878906,-127.19999694824219,3645,74029137.84076585,3645,7039075.844848283,0.02675637263050881,0.09508520631415558,0.026756372630508857,0.0950852063141556
10160,3001382,314996,263080348.82209843,3001382,53.32660298567219,-127.09961339592095,498,263080348.8220976,498,53.29999923706055,-127.0,3748,74198502.15169369,3748,33662063.09496546,0.12795354440452222,0.45367577671777937,0.12795354440452245,0.6265464938763369
10161,3001382,314996,263080348.82209843,3001382,53.32660298567219,-127.09961339592095,498,263080348.8220976,498,53.400001525878906,-126.9000015258789,3648,74026313.91790268,3648,1471643.6822009946,0.005593894370256297,0.01988000758531743,0.005593894370256307,0.01988000758531743
10151,3001382,314996,263080348.82209843,3001382,53.32660298567219,-127.09961339592095,498,263080348.8220976,498,53.29999923706055,-127.30000305175781,3745,74201332.64313126,3745,8094516.425898706,0.030768229030182895,0.1090885586223768,0.03076822903018295,0.3795602448724472
10149,3001382,314996,263080348.82209843,3001382,53.32660298567219,-127.09961339592095,498,263080348.8220976,498,53.20000076293945,-127.0999984741211,3848,74370454.86698596,3848,4137792.5765027255,0.015728246503507636,0.055637585972861205,0.015728246503507664,1.0
10159,3001382,314996,263080348.82209843,3001382,53.32660298567219,-127.09961339592095,498,263080348.8220976,498,53.29999923706055,-126.9000015258789,3749,74198502.151708,3749,7822115.986637968,0.029732802247147333,0.10542148102457223,0.029732802247147385,0.10542148102457223
10148,3001382,314996,263080348.82209843,3001382,53.32660298567219,-127.09961339592095,498,263080348.8220976,498,53.20000076293945,-127.19999694824219,3847,74373291.91798483,3847,263097.81508148485,0.0010000663913495077,0.0035375308567975727,0.0010000663913495094,1.0
10162,3001382,314996,263080348.82209843,3001382,53.32660298567219,-127.09961339592095,498,263080348.8220976,498,53.400001525878906,-127.0,3647,74026313.91788837,3647,38149286.55755816,0.14501001967028632,0.5153476451613435,0.14501001967028657,0.5153476451613435
4857,3001424,314524,263588360.2174536,3001424,52.02270174328081,-121.63474424498234,255,263588360.21745354,255,52.0,-121.9000015258789,5112,76413868.68271436,5112,1845474.8980389964,0.007001352019173106,0.024151046529286152,0.0070013520191731324,0.024151046529286152
4861,3001424,314524,263588360.2174536,3001424,52.02270174328081,-121.63474424498234,255,263588360.21745354,255,52.0,-121.80000305175781,5113,76416783.68495364,5113,35270440.80008033,0.13380879478510785,0.46155358939851626,0.13380879478510835,0.46155358939851626
4862,3001424,314524,263588360.2174536,3001424,52.02270174328081,-121.63474424498234,255,263588360.21745354,255,52.099998474121094,-121.69999694824219,5013,76249148.9940496,5013,3000310.5588782476,0.011382560885477148,0.03934877435959828,0.011382560885477191,0.03934877435959828
