,Unnamed: 0,S_1_hruid,S_1_PFAF,S_1_area_org,ID_t,lat_t,lon_t,order_t,AS1,IDS1,lat_s,lon_s,ID_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N,rows,cols,easymore_case
0,1566,3000119,3142614,248338101.23161724,3000119,50.539217550892026,-119.90825389215486,86,248338101.23162055,86,50.400001525878906,-120.0,6747,79087468.94728579,6747,43913.09050179798,0.0001768278418978,0.0005552471344236,0.0001768278418978,0.0005552471344236,66.0,80.0,1
1,1570,3000119,3142614,248338101.23161724,3000119,50.539217550892026,-119.90825389215486,86,248338101.23162055,86,50.59999847412109,-120.0,6545,78756909.07759008,6545,41428075.260689735,0.1668212612371168,0.5260246465472057,0.1668212612371167,0.5260246465472055,64.0,80.0,1
2,1568,3000119,3142614,248338101.23161724,3000119,50.539217550892026,-119.90825389215486,86,248338101.23162055,86,50.5,-120.0,6646,78920808.33257833,6646,25175916.69362268,0.1013775839018014,0.3190022660123986,0.1013775839018014,0.3190022660123986,65.0,80.0,1
3,1569,3000119,3142614,248338101.23161724,3000119,50.539217550892026,-119.90825389215486,86,248338101.23162055,86,50.59999847412109,-119.9000015258789,6546,78756909.07760528,6546,56404415.30404031,0.2271275129523234,0.716183709653469,0.2271275129523234,0.716183709653469,64.0,81.0,1
4,1572,3000119,3142614,248338101.23161724,3000119,50.539217550892026,-119.90825389215486,86,248338101.23162055,86,50.400001525878906,-119.9000015258789,6748,79087468.94730105,6748,14696678.797208505,0.059180120667433,0.185828159540691,0.059180120667433,0.185828159540691,66.0,81.0,1
5,1574,3000119,3142614,248338101.23161724,3000119,50.539217550892026,-119.90825389215486,86,248338101.23162055,86,50.5,-119.8000030517578,6648,78923818.9684504,6648,18960752.91074741,0.0763505592444835,0.240241199153413,0.0763505592444835,0.2402411991534131,65.0,82.0,1
6,1575,3000119,3142614,248338101.23161724,3000119,50.539217550892026,-119.90825389215486,86,248338101.23162055,86,50.59999847412109,-119.8000030517578,6547,78759913.46110633,6547,17986046.507638693,0.0724256423739965,0.2283654935263567,0.0724256423739964,0.2283654935263567,64.0,82.0,1
7,1571,3000119,3142614,248338101.23161724,3000119,50.539217550892026,-119.90825389215486,86,248338101.23162055,86,50.70000076293945,-120.0,6444,78591254.12683703,6444,32787.80057572871,0.0001320288768139,0.0004171940114712,0.0001320288768139,0.0004171940114712,63.0,80.0,1
8,1567,3000119,3142614,248338101.23161724,3000119,50.539217550892026,-119.90825389215486,86,248338101.23162055,86,50.5,-119.9000015258789,6647,78920808.33259356,6647,73450159.44954391,0.2957667755582871,0.930681793577242,0.295766775558287,0.930681793577242,65.0,81.0,1
9,1573,3000119,3142614,248338101.23161724,3000119,50.539217550892026,-119.90825389215486,86,248338101.23162055,86,50.400001525878906,-119.8000030517578,6749,79090485.9408528,6749,159355.41705186994,0.0006416873458464,0.0020148493861959,0.0006416873458464,0.0020148493861959,66.0,82.0,1
10,5094,3000137,3145364,248724090.7519148,3000137,52.47668931590078,-122.92537712060803,267,248724090.75190824,267,52.5,-122.8000030517578,4598,75568923.53752427,4598,44745434.03590453,0.1798998798252164,0.5921142176080605,0.1798998798252163,0.5921142176080605,45.0,52.0,1
11,5090,3000137,3145364,248724090.7519148,3000137,52.47668931590078,-122.92537712060803,267,248724090.75190824,267,52.5,-122.9000015258789,4597,75566040.87784259,4597,55048988.37095392,0.2213255185878353,0.7284884550183618,0.2213255185878352,0.7284884550183618,45.0,51.0,1
12,5095,3000137,3145364,248724090.7519148,3000137,52.47668931590078,-122.92537712060803,267,248724090.75190824,267,52.5,-122.6999969482422,4599,75568923.53750968,4599,11763595.646073136,0.0472957629898698,0.1556671062044984,0.0472957629898698,0.1556671062044983,45.0,53.0,1
13,5093,3000137,3145364,248724090.7519148,3000137,52.47668931590078,-122.92537712060803,267,248724090.75190824,267,52.400001525878906,-122.8000030517578,4699,75740420.27189574,4699,5460185.685834913,0.021952781772479,0.0720907761830966,0.021952781772479,0.0720907761830966,46.0,52.0,1
14,5086,3000137,3145364,248724090.7519148,3000137,52.47668931590078,-122.92537712060803,267,248724090.75190824,267,52.400001525878906,-122.9000015258789,4698,75737531.07028255,4698,23598131.897771608,0.0948767440517442,0.3115777813759617,0.0948767440517442,0.3115777813759617,46.0,51.0,1
15,5087,3000137,3145364,248724090.7519148,3000137,52.47668931590078,-122.92537712060803,267,248724090.75190824,267,52.400001525878906,-123.0999984741211,4696,75737531.0702533,4696,2270096.967986821,0.0091269686065558,0.0299732105853979,0.0091269686065558,0.0299732105853979,46.0,49.0,1
16,5088,3000137,3145364,248724090.7519148,3000137,52.47668931590078,-122.92537712060803,267,248724090.75190824,267,52.400001525878906,-123.0,4697,75737531.07029717,4697,25455116.30933222,0.1023427856641463,0.336096463003337,0.1023427856641462,0.3360964630033371,46.0,50.0,1
17,5091,3000137,3145364,248724090.7519148,3000137,52.47668931590078,-122.92537712060803,267,248724090.75190824,267,52.5,-123.0,4596,75566040.87785718,4596,55079498.46232068,0.2214481849981317,0.7288922090195201,0.2214481849981316,0.7288922090195201,45.0,50.0,1
18,5089,3000137,3145364,248724090.7519148,3000137,52.47668931590078,-122.92537712060803,267,248724090.75190824,267,52.5,-123.0999984741211,4595,75566040.87781341,4595,25303043.375730503,0.1017313735040214,0.3348467523479798,0.1017313735040214,0.3348467523479798,45.0,49.0,1
